STT,MÃ HÀNG,TÊN HÀNG,GHI CHÚ
1,OCXL,ỚT CHUÔNG XANH LỚN,
2,OCXT,ỚT CHUÔNG XANH TRUNG,
3,HLA,HÀNH LÁ,
4,BNU,BÍ NỤ,
5,BTROC,BÍ TRỌC,
6,CTIM,CÀ TÍM,
7,SSU,SU SU,
8,DSU,ĐỌT SU,
9,BHL,BÍ HỒ LÔ,
10,BDT,BÍ ĐỎ TRÒN,
11,LOX,BÔNG LƠ XANH,
12,LOT,BÔNG LƠ TRẮNG,
13,XLM,XÀ LÁCH MỸ,
14,BCTR,BẮP CẢI TRĂNG,
15,CAITHAO,CẢI THẢO,
16,CROTL,CÀ RỐT LỚN,
17,CROTN,CÀ RỐT NHỎ,
18,BEL,CÀ CHUA BEEF LỚN,
19,BETR,CÀ CHUA BEEF TRUNG,
20,CACHUAL,CÀ CHUA LỚN,
21,CACHUAT,CÀ CHUA TRUNG,
22,OCDL,ỚT CHUÔNG ĐỎ LỚN,
23,OCDT,ỚT CHUÔNG ĐỎ TRUNG,
24,OCVL,ỚT CHUÔNG VÀNG  LỚN,
25,OCVT,ỚT CHUÔNG VÀNG TRUNG,
26,KLN,KHOAI LANG NHẬT,
27,LKM,KHOAI LANG MẬT,
28,LBB,BÔNG CẢI XANH BABY,
29,LLX,LÔ LÔ XANH,
30,XLMO,XÀ LÁCH MỠ,
31,OCBB,ỚT CHUÔNG BABY,
32,OCTH,ỚT CHỈ THIÊN,
33,TANO,TẦN Ô - CẢI CÚC,
34,KLN,KHOAI LANG NHẬT,
35,CTAYT,CẦN TÂY TRUNG,
36,CSA,CÂY SẢ,
37,HTAYL,HÀNH TÂY LỚN,
38,HTAYT,HÀNH TÂY TRUNG,
39,HTAYC,HÀNH TÂY CỒ,
40,HTAYB,HÀNH TÂY BI,
41,CGUNG,CỦ GỪNG,
42,BCTIM,BẮP CẢI TÍM,
43,BCTT,BẮP CẢI TRÁI TIM,
44,CKH,CHANH KHÔNG HẠT,
45,CCH,CHANH CÓ HẠT,
46,KTV,KHOAI TÂY VÀNG,
47,KTH,KHOAI TÂY HỒNG,
48,CDAY,CHANH DÂY,
49,KSO,KHOAI SỌ,
50,NGR,NGÒ RÍ,
51,QTAY,QUẾ TÂY,
