 TÊN NHÀ XE , TÊN CHỦ NHÀ XE , SỐ ĐIỆN THOẠI , TỈNH GIAO HÀNG , Loại xe , Loại hàng , Loại rổ ,Đơn giá/Kg
HOÀNG ANH PHÁT,,,Ho Chi Minh,Xe lạnh,Rau,Rổ đen,2000
NGUYỄN NAM,,,Duc Trong,Xe nóng,Rau,Rổ đen,1600
ĐỨC THỊNH,,,Duc Trong,Xe nóng,Cu Qua,Rổ đen,1600
LỘC PHÁT,,,Ho Chi Minh,Xe lạnh,Rau,Rổ xanh,3500
LỘC PHÁT,,,Ho Chi Minh,Xe lạnh,Cu Qua,Rổ xanh,2000
ĐỨC THỊNH,,,Da Nang,Xe lạnh,Rau,Rổ xanh,4600
ĐỨC THỊNH,,,Da Nang,Xe lạnh,Cu Qua,Rổ xanh,2800
ĐỨC THỊNH,,,Ha Noi,Xe lạnh,Rau,Rổ xanh,5500
ĐỨC THỊNH,,,Ha Noi,Xe lạnh,Cu Qua,Rổ xanh,3400
TÍ CÀ PHÊ,,,Ben Tre,Xe nóng,Rau,Rổ xanh,1600
TÍ CÀ PHÊ,,,Ho Chi Minh,Xe lạnh,Rau,Rổ đen,2000
